# x_m, y_m, w_tr_right_m, w_tr_left_m
# levine centerline (one frame for every levine map), 499 points, 61.78 m, counter-clockwise; finish line = first point. Source: lev_blocked_source.csv; widths measured from the map by autograder/labs/lab3/make_centerline.py
-2.2749, 8.4424, 1.0000, 0.6750
-2.3997, 8.4418, 1.0000, 0.6750
-2.5245, 8.4415, 1.0000, 0.6750
-2.6494, 8.4413, 1.0000, 0.6750
-2.7744, 8.4412, 1.0000, 0.6750
-2.8995, 8.4413, 1.0000, 0.6750
-3.0247, 8.4417, 1.0000, 0.6750
-3.1500, 8.4421, 1.0000, 0.6750
-3.2753, 8.4428, 1.0000, 0.6750
-3.4008, 8.4436, 1.0000, 0.6750
-3.5264, 8.4446, 1.0000, 0.6750
-3.6521, 8.4458, 1.0000, 0.6750
-3.7780, 8.4472, 1.0000, 0.6750
-3.9040, 8.4487, 1.0000, 0.6750
-4.0301, 8.4505, 0.9750, 0.7000
-4.1563, 8.4524, 0.9750, 0.7000
-4.2827, 8.4544, 0.9750, 0.7000
-4.4091, 8.4566, 0.9750, 0.7000
-4.5357, 8.4590, 0.9750, 0.7000
-4.6624, 8.4614, 0.9750, 0.7000
-4.7892, 8.4640, 0.9750, 0.7000
-4.9161, 8.4666, 0.9750, 0.7000
-5.0431, 8.4693, 0.9750, 0.7000
-5.1702, 8.4721, 0.9750, 0.7000
-5.2973, 8.4749, 0.9750, 0.7250
-5.4245, 8.4778, 0.9500, 0.7250
-5.5518, 8.4807, 0.9500, 0.7250
-5.6792, 8.4836, 0.9500, 0.7250
-5.8066, 8.4866, 0.9500, 0.7250
-5.9340, 8.4895, 0.9500, 0.7250
-6.0615, 8.4924, 0.9500, 0.7250
-6.1891, 8.4952, 0.9500, 0.7250
-6.3166, 8.4980, 0.9500, 0.7250
-6.4443, 8.5007, 0.9250, 0.7500
-6.5719, 8.5034, 0.9250, 0.7500
-6.6995, 8.5059, 0.9250, 0.7500
-6.8272, 8.5084, 0.9250, 0.7500
-6.9548, 8.5107, 0.9250, 0.7500
-7.0825, 8.5129, 0.9250, 0.7500
-7.2102, 8.5150, 0.9250, 0.7500
-7.3378, 8.5169, 0.9250, 0.7500
-7.4655, 8.5187, 0.9250, 0.7500
-7.5931, 8.5202, 0.9250, 0.7500
-7.7207, 8.5216, 0.9250, 0.7500
-7.8482, 8.5228, 0.9250, 0.7500
-7.9757, 8.5237, 0.9250, 0.7500
-8.1032, 8.5244, 0.9250, 0.7500
-8.2306, 8.5249, 0.9250, 0.7500
-8.3580, 8.5251, 0.9000, 0.7750
-8.4853, 8.5251, 0.9000, 0.7750
-8.6125, 8.5247, 0.9250, 0.7500
-8.7397, 8.5241, 0.9250, 0.7500
-8.8668, 8.5231, 0.9250, 0.7500
-8.9938, 8.5218, 0.9250, 0.7500
-9.1207, 8.5202, 0.9250, 0.7500
-9.2475, 8.5183, 0.9250, 0.7500
-9.3743, 8.5159, 0.9250, 0.7500
-9.5009, 8.5132, 0.9250, 0.7500
-9.6274, 8.5102, 0.9250, 0.7500
-9.7538, 8.5067, 0.9250, 0.7500
-9.8800, 8.5028, 0.9250, 0.7500
-10.0062, 8.4984, 0.9500, 0.7250
-10.1322, 8.4937, 0.9500, 0.7250
-10.2581, 8.4885, 0.9500, 0.7250
-10.3838, 8.4828, 0.9500, 0.7250
-10.5094, 8.4766, 0.9500, 0.7250
-10.6348, 8.4699, 0.9750, 0.7000
-10.7601, 8.4628, 0.9750, 0.7000
-10.8852, 8.4551, 0.9750, 0.7000
-11.0101, 8.4469, 1.0000, 0.6750
-11.1348, 8.4381, 1.0000, 0.6750
-11.2594, 8.4288, 1.0000, 0.6750
-11.3838, 8.4189, 1.0250, 0.6500
-11.5079, 8.4085, 1.0250, 0.6500
-11.6319, 8.3974, 1.0500, 0.6500
-11.7557, 8.3857, 1.0500, 0.6250
-11.8792, 8.3734, 1.0750, 0.6250
-12.0022, 8.3602, 1.0750, 0.6000
-12.1242, 8.3456, 1.1000, 0.6000
-12.2447, 8.3293, 1.1250, 0.5750
-12.3633, 8.3108, 1.1500, 0.5500
-12.4794, 8.2897, 1.1750, 0.5250
-12.5927, 8.2655, 1.2000, 0.5250
-12.7025, 8.2379, 1.3000, 0.5000
-12.8086, 8.2064, 1.3500, 0.4750
-12.9102, 8.1706, 1.4000, 0.4250
-13.0071, 8.1301, 1.5000, 0.4000
-13.0988, 8.0844, 1.6000, 0.4750
-13.1847, 8.0331, 1.7250, 0.5750
-13.2643, 7.9758, 1.9250, 0.6500
-13.3373, 7.9121, 1.6500, 0.6750
-13.4032, 7.8416, 1.4000, 0.7000
-13.4614, 7.7638, 1.2250, 0.7250
-13.5123, 7.6789, 1.1000, 0.7250
-13.5562, 7.5875, 1.0250, 0.7500
-13.5937, 7.4899, 0.9500, 0.7750
-13.6253, 7.3867, 0.9000, 0.8000
-13.6515, 7.2783, 0.8500, 0.8000
-13.6727, 7.1653, 0.8250, 0.8250
-13.6895, 7.0480, 0.8000, 0.8250
-13.7025, 6.9270, 0.8000, 0.8500
-13.7120, 6.8027, 0.7750, 0.8500
-13.7185, 6.6756, 0.7750, 0.8500
-13.7227, 6.5461, 0.7750, 0.8500
-13.7249, 6.4149, 0.7750, 0.8500
-13.7257, 6.2822, 0.7500, 0.8750
-13.7256, 6.1487, 0.7500, 0.8750
-13.7251, 6.0147, 0.7500, 0.8750
-13.7246, 5.8807, 0.7750, 0.8500
-13.7241, 5.7467, 0.7750, 0.8500
-13.7237, 5.6128, 0.7750, 0.8500
-13.7233, 5.4790, 0.7750, 0.8500
-13.7229, 5.3452, 0.7750, 0.8500
-13.7226, 5.2115, 0.7750, 0.8500
-13.7222, 5.0779, 0.7750, 0.8500
-13.7219, 4.9444, 1.5750, 1.8500
-13.7215, 4.8110, 1.5750, 1.8500
-13.7210, 4.6776, 1.5750, 1.8500
-13.7205, 4.5444, 1.5750, 1.8500
-13.7200, 4.4113, 1.5750, 1.8500
-13.7193, 4.2783, 1.5750, 1.8500
-13.7186, 4.1455, 1.5750, 1.8500
-13.7178, 4.0127, 1.5750, 1.8500
-13.7168, 3.8802, 1.5750, 1.8500
-13.7157, 3.7477, 1.5750, 1.8500
-13.7145, 3.6154, 1.5750, 1.8500
-13.7131, 3.4833, 0.7750, 1.8500
-13.7115, 3.3513, 0.7750, 0.8000
-13.7098, 3.2195, 0.7750, 0.8000
-13.7078, 3.0879, 0.7750, 0.8000
-13.7057, 2.9565, 0.7750, 0.8000
-13.7033, 2.8252, 0.7750, 0.8000
-13.7007, 2.6942, 0.7750, 0.8000
-13.6978, 2.5633, 0.8000, 0.7750
-13.6947, 2.4327, 0.8000, 0.7750
-13.6913, 2.3022, 0.8000, 0.7750
-13.6876, 2.1720, 0.8000, 0.7750
-13.6836, 2.0420, 0.8000, 0.7750
-13.6793, 1.9123, 0.8000, 0.7750
-13.6744, 1.7831, 0.8250, 0.7750
-13.6685, 1.6548, 0.8250, 0.7500
-13.6610, 1.5278, 0.8250, 0.7500
-13.6517, 1.4026, 0.8500, 0.7500
-13.6400, 1.2796, 0.8500, 0.7250
-13.6254, 1.1593, 0.8750, 0.7250
-13.6076, 1.0419, 0.9000, 0.7000
-13.5861, 0.9280, 0.9250, 0.7000
-13.5605, 0.8181, 0.9500, 0.6750
-13.5303, 0.7124, 1.0000, 0.6500
-13.4950, 0.6114, 1.0750, 0.6250
-13.4543, 0.5157, 1.1500, 0.6000
-13.4076, 0.4255, 1.2500, 0.5750
-13.3545, 0.3413, 1.3750, 0.5250
-13.2947, 0.2635, 1.5500, 0.5000
